,,,,,,,,,,,,,,,precipitation,temperature,dengue_incidence,temp_min,temp_max,deltemp,dengue_befor
2.8,21.5,0,15.41904762,31.37727273,15.95822511,6.210515432,7.5,96.36666667,26.58072917,4.210127935,21.44740839,33.22140798,11.77399959,4.335646774,-0.958288779,2.272410527,0,-1.817783702,-0.824489717,1.398780574,0.521921409
4.9,24,0.187342632,17.4,34.0875,16.6875,6.210515432,5,97.63932204,2.107939613,7.081395814,3.316324579,2.236698907,2.991338026,3.592243245,-0.93678105,1.086418298,1.87342632,-1.220450017,0.387218869,1.642576121,0.521921409
0,28,0.248450446,19.80740741,37.54705882,17.73965142,6.210515432,1,,,,,,,,-0.98696575,-0.811169268,2.48450446,-0.494523663,1.933944184,1.994308827,0.521921409
0.5,30.3,0.370644235,23.625,37.88888889,14.26388889,6.210515432,1.3,,,,,,,,-0.981844862,-0.668850201,3.70644235,0.656628011,2.086772117,0.832366412,0.521921409
249.1,27.7,0.863850391,23.89090909,31.21818182,7.327272727,6.210515432,1.3,,,,,,,,1.564260486,-0.668850201,8.63850391,0.736809876,-0.895617265,-1.486534394,0.521921409
178.8,26.7,3.179994411,23.99130435,32.64666667,8.655362319,6.210515432,2.3,,,,,,,,0.84426368,-0.194453309,31.79994411,0.767082926,-0.256959623,-1.042555954,0.521921409
218,26.2,9.550900826,23.91764706,32.97727273,9.059625668,6.210515432,2.8,,,,,,,,1.245741273,0.042745137,95.50900826,0.744872407,-0.109149804,-0.907411298,0.521921409
115.7,26.6,7.811246378,24.11764706,32.92857143,8.81092437,6.210515432,2.4,,,,,,,,0.198007656,-0.14701362,78.11246378,0.805180134,-0.130923544,-0.990551784,0.521921409
371.4,25.8,5.542659501,23.4,30.961,7.561,6.210515432,3.2,,,,,,,,2.816829609,0.232503893,55.42659501,0.588781817,-1.010600028,-1.408399703,0.521921409
38.8,25.5,1.782106179,21.824,32.22222222,10.39822222,6.210515432,3.5,,,,,,,,-0.589584867,0.374822961,17.82106179,0.113556922,-0.446723408,-0.459920396,0.521921409
28.9,24.2,0.921183537,19.69259259,31.45444444,11.76185185,6.210515432,4.8,,,,,,,,-0.690978442,0.99153892,9.21183537,-0.529144768,-0.789987214,-0.004060971,0.521921409
0,19.9,0.184024468,14.26538462,29.29090909,15.02552448,6.210515432,9.1,,,,,,,,-0.98696575,3.031445553,1.84024468,-2.165657673,-1.757276707,1.086980095,0.521921409
0,21.8,0.061308808,15.62,31.52857143,15.90857143,2.553533584,7.2,,,,,,,,-0.98696575,2.130091459,0.61308808,-1.757188795,-0.756845968,1.38218142,-0.496100366
0,25.1,0.183935897,17.025,35.475,18.45,2.553533584,3.9,,,,,,,,-0.98696575,0.564581717,1.83935897,-1.333527007,1.0075527,2.231777336,-0.496100366
24.7,26.9,0.245229369,19.63333333,35.57647059,15.94313725,2.553533584,2.1,,,,,,,,-0.733993899,-0.289332687,2.45229369,-0.547013725,1.052918927,1.393736724,-0.496100366
57.2,29.2,0.735576269,22.972,36.675,13.703,2.553533584,0.2,,,,,,,,-0.401136201,-1.190686781,7.35576269,0.459723279,1.544057634,0.644862063,-0.496100366
104.7,28.6,5.134433528,24.43,36.03913043,11.60913043,2.553533584,0.4,,,,,,,,0.085348128,-1.095807403,51.34433528,0.899366615,1.259768332,-0.055115523,-0.496100366
193.5,27.6,5.971036816,24.856,32.94736842,8.091368421,2.553533584,1.4,,,,,,,,0.994817777,-0.621410512,59.71036816,1.027822075,-0.122519646,-1.231098303,-0.496100366
179.1,27.4,4.504274191,24.45882353,33.70454545,9.245721925,2.553533584,1.6,,,,,,,,0.847336213,-0.526531133,45.04274191,0.908058023,0.216004698,-0.845199587,-0.496100366
155.2,26.2,3.03866396,23.84210526,32.23529412,8.393188854,2.553533584,2.8,,,,,,,,0.602557782,0.042745137,30.3866396,0.722093635,-0.440879126,-1.130200166,-0.496100366
200,26,1.640260498,22.47222222,32.51578947,10.04356725,2.553533584,3,,,,,,,,1.061389317,0.137624515,16.40260498,0.309020968,-0.315473176,-0.578481042,-0.496100366
192,26,1.093200173,22.95555556,33.28571429,10.33015873,2.553533584,3,,,,,,,,0.979455114,0.137624515,10.93200173,0.454764645,0.028750545,-0.482673922,-0.496100366
22.8,24.5,0.849380559,20.81,31.83,11.02,2.553533584,4.5,,,,,,,,-0.753453272,0.849219852,8.49380559,-0.192203258,-0.622081038,-0.252060978,-0.496100366
27.9,21.8,0.12121146,16.86,27.84117647,10.98117647,2.553533584,7.2,,,,,,,,-0.701220218,2.130091459,1.2121146,-1.383280882,-2.40543396,-0.265039628,-0.496100366
0,21.2,0.182322054,14.23529412,31.05333333,16.81803922,1.964875961,7.8,,,,,,,,-0.98696575,2.414729594,1.82322054,-2.174731121,-0.969318956,1.686215194,-0.659969454
0,24.7,0.060677955,18.01904762,33.48947368,15.47042607,1.964875961,4.3,,,,,,,,-0.98696575,0.754340474,0.60677955,-1.03378324,0.11984881,1.235710056,-0.659969454
18,27.8,0.242724927,20.51764706,36.89583333,16.37818627,1.964875961,1.2,,,,,,,,-0.802613794,-0.71628989,2.42724927,-0.280358966,1.642789443,1.539172986,-0.659969454
206.7,28.4,0.606601032,22.605,35.925,13.32,1.964875961,0.6,,,,,,,,1.130009212,-1.000928025,6.06601032,0.349058599,1.20874205,0.516825714,-0.659969454
219.5,26.5,3.454495207,22.59333333,33.93157895,11.33824561,1.964875961,2.5,,,,,,,,1.261103936,-0.099573931,34.54495207,0.345540647,0.317508525,-0.145671928,-0.659969454
180.4,27.6,8.953033475,24.18823529,33.97368421,9.785448916,1.964875961,1.4,,,,,,,,0.860650521,-0.621410512,89.53033475,0.826465213,0.336333259,-0.66476963,-0.659969454
269.3,26.4,5.925990427,23.61111111,32.52380952,8.912698413,1.964875961,2.6,,,,,,,,1.771144348,-0.052134242,59.25990427,0.652439974,-0.311887513,-0.956528868,-0.659969454
341.4,26,4.652787261,23.48571429,31.79473684,8.309022556,1.964875961,3,,,,,,,,2.509576349,0.137624515,46.52787261,0.614627987,-0.637846754,-1.158336839,-0.659969454
194.8,26.7,0.966394828,23.52941176,32.65,9.120588235,1.964875961,2.3,,,,,,,,1.008132085,-0.194453309,9.66394828,0.627804463,-0.255469333,-0.887031599,-0.659969454
69.9,25.8,0.905555948,22.14285714,32.6,10.45714286,1.964875961,3.2,,,,,,,,-0.271065654,0.232503893,9.05555948,0.20970467,-0.277823705,-0.44022331,-0.659969454
0,24,0.422336535,18.32222222,32.55909091,14.23686869,1.964875961,5,,,,,,,,-0.98696575,1.086418298,4.22336535,-0.942364384,-0.296113646,0.823333598,-0.659969454
0,21.9,0.24121117,15.755,30.21176471,14.45676471,1.964875961,7.1,,,,,,,,-0.98696575,2.08265177,2.4121117,-1.716481078,-1.34557372,0.896844522,-0.659969454
0,21.1,0.060288287,14.765,30.83076923,16.06576923,2.217844235,7.9,,,,,,,,-0.98696575,2.462169283,0.60288287,-2.015004331,-1.06882457,1.434732419,-0.589548757
0,23.4,0,16.53157895,33.52352941,16.99195046,2.217844235,5.6,,,,,,,,-0.98696575,1.371056433,0,-1.482312519,0.135074699,1.744353472,-0.589548757
0,26.6,0.120561527,19.475,36,16.525,2.217844235,2.4,,,,,,,,-0.98696575,-0.14701362,1.20561527,-0.594757341,1.242273608,1.588252605,-0.589548757
56,29.6,0.421899222,22.96363636,36.96842105,14.00478469,2.217844235,0.6,,,,,,,,-0.413426331,-1.000928025,4.21899222,0.457201319,1.675242502,0.745748251,-0.589548757
393.5,26.5,1.263404116,23.25217391,33.07142857,9.819254658,2.217844235,2.5,,,,,,,,3.043172844,-0.099573931,12.63404116,0.544206539,-0.06705391,-0.653468419,-0.589548757
130.1,27.8,2.945244302,24.385,34.42777778,10.04277778,2.217844235,1.2,,,,,,,,0.345489221,-0.71628989,29.45244302,0.885797376,0.539352793,-0.578744961,-0.589548757
74.6,27,4.629239963,24.048,32.95416667,8.906166667,2.217844235,2,,,,,,,,-0.22292931,-0.336772377,46.29239963,0.784178855,-0.119480234,-0.958712421,-0.589548757
153.2,26.9,4.447152801,23.74666667,33.15,9.403333333,2.217844235,2.1,,,,,,,,0.582074231,-0.289332687,44.47152801,0.693315213,-0.031925611,-0.79251032,-0.589548757
179.8,26.9,3.005195984,23.45,32.81333333,9.363333333,2.217844235,2.1,,,,,,,,0.854505455,-0.289332687,30.05195984,0.603858749,-0.182445052,-0.805882262,-0.589548757
64.6,25.8,1.141520277,22.17777778,32.29,10.11222222,2.217844235,3.2,,,,,,,,-0.325347063,0.232503893,11.41520277,0.220234592,-0.416420813,-0.555529784,-0.589548757
73.5,23.1,0.901482939,18.35333333,30.51666667,12.16333333,2.217844235,5.9,,,,,,,,-0.234195263,1.5133755,9.01482939,-0.932983182,-1.209255882,0.13015371,-0.589548757
0,21.8,0.240326989,15.08947368,30.94444444,15.85497076,2.217844235,7.2,,,,,,,,-0.98696575,2.130091459,2.40326989,-1.917162979,-1.018001811,1.364262793,-0.589548757
16.6,22.3,0.540589242,14.7125,31.08666667,16.37416667,1.598026367,6.7,,,,,,,,-0.816952279,1.892893013,5.40589242,-2.03083511,-0.954416038,1.537829239,-0.762092158
13.8,24.5,0.660577345,17.38666667,32.04666667,14.66,1.598026367,4.5,,,,,,,,-0.84562925,0.849219852,6.60577345,-1.224470531,-0.52521209,0.964785787,-0.762092158
9.4,27.8,0.480354117,20.53043478,35.81578947,15.28535469,1.598026367,1.2,,,,,,,,-0.890693061,-0.71628989,4.80354117,-0.276502974,1.159915393,1.17384096,-0.762092158
57.2,29.9,1.981000405,23.88181818,37.57647059,13.69465241,1.598026367,0.9,,,,,,,,-0.401136201,-0.858608957,19.81000405,0.734068615,1.947093817,0.642071476,-0.762092158
158.7,27.4,5.879310945,23.29,33.77058824,10.48058824,1.598026367,1.6,,,,,,,,0.638403996,-0.526531133,58.79310945,0.555612566,0.2455316,-0.432385554,-0.762092158
147.1,28,16.35894277,24.12222222,33.85625,9.734027778,1.598026367,1,,,,,,,,0.519599402,-0.811169268,163.5894277,0.806559722,0.283829898,-0.681959642,-0.762092158
101.6,27.8,25.5930454,24.13157895,34.14,10.00842105,1.598026367,1.2,,,,,,,,0.053598624,-0.71628989,255.930454,0.809381138,0.41069096,-0.590230366,-0.762092158
170.9,27.3,26.43580595,24.09,32.45789474,8.367894737,1.598026367,1.7,,,,,,,,0.763353655,-0.479091444,264.3580595,0.796843478,-0.341357183,-1.138655953,-0.762092158
236.4,27,16.05896276,23.13043478,33.12857143,9.998136646,1.598026367,2,,,,,,,,1.434189939,-0.336772377,160.5896276,0.507497487,-0.041506055,-0.593668428,-0.762092158
188.1,26.7,10.06423136,22.3125,32.21333333,9.900833333,1.598026367,2.3,,,,,,,,0.939512191,-0.194453309,100.6423136,0.260858547,-0.450697519,-0.626196785,-0.762092158
34.1,24.2,6.827185373,17.58235294,30.83636364,13.2540107,1.598026367,4.8,,,,,,,,-0.637721211,0.99153892,68.27185373,-1.16546356,-1.06632338,0.494765586,-0.762092158
7.1,21.6,2.753968259,14.67083333,28.85882353,14.1879902,1.598026367,7.4,,,,,,,,-0.914249145,2.224970837,27.53968259,-2.043399221,-1.950456736,0.80699359,-0.762092158
0,21.4,2.399028578,13.255,28.75454545,15.49954545,9.469497828,7.6,,,,,,,,-0.98696575,2.319850216,23.99028578,-2.470327676,-1.997078156,1.245444623,1.429149059
0,25.4,0.859321149,16.4826087,34.3173913,17.8347826,9.469497828,3.6,,,,,,,,-0.98696575,0.42226265,8.59321149,-1.497078941,0.490000383,2.026111044,1.429149059
16.7,27.1,1.412258527,19.08636364,35.30869565,16.22233202,9.469497828,1.9,,,,,,,,-0.815928102,-0.384212066,14.12258527,-0.71194622,0.933200113,1.487071134,1.429149059
97.9,29.6,0.982286308,23.50454545,36.41904762,12.91450216,9.469497828,0.6,,,,,,,,0.015704056,-1.000928025,9.82286308,0.620306309,1.429624538,0.381268369,1.429149059
142,28.5,4.785584347,23.75,34.94230769,11.19230769,9.469497828,0.5,,,,,,,,0.467366348,-1.048367714,47.85584347,0.69432034,0.769392656,-0.194458765,1.429149059
140.2,27.7,7.908981722,23.485,31.975,8.49,9.469497828,1.3,,,,,,,,0.448931152,-0.668850201,79.08981722,0.614412601,-0.557253359,-1.097836339,1.429149059
124,27.8,6.931120609,24.06111111,32.1326087,8.071497585,9.469497828,1.2,,,,,,,,0.283014392,-0.71628989,69.31120609,0.788132361,-0.486788488,-1.237741095,1.429149059
126.8,28,6.991625995,23.76,33.2,9.44,9.469497828,1,,,,,,,,0.311691363,-0.811169268,69.91625995,0.697335727,-0.009571238,-0.780252706,1.429149059
191.7,28,3.923357217,23.55714286,33.52857143,9.971428571,9.469497828,1,,,,,,,,0.976382582,-0.811169268,39.23357217,0.636166461,0.137328923,-0.602596899,1.429149059
223.4,27.4,3.799424694,22.73043478,32.95833333,10.22789855,9.469497828,1.6,,,,,,,,1.30104686,-0.526531133,37.99424694,0.386882032,-0.117617372,-0.516859354,1.429149059
0,25.1,4.165416021,18.89473684,32.01,13.11526316,9.469497828,3.9,,,,,,,,-0.98696575,0.564581717,41.65416021,-0.769729105,-0.541605298,0.448382483,1.429149059
7.5,22.5,1.408840659,15.77272727,30.14347826,14.37075099,9.469497828,6.5,,,,,,,,-0.910152435,1.798013635,14.08840659,-1.711135622,-1.376103734,0.868090259,1.429149059
21.7,24.2,1.285615372,17.4875,31.73333333,14.24583333,3.797270485,4.8,,,,,,,,-0.764719225,0.99153892,12.85615372,-1.194065386,-0.665299493,0.826330465,-0.149871891
0,24.5,0.857028645,15.7,34.055,18.355,3.797270485,4.5,,,,,,,,-0.98696575,0.849219852,8.57028645,-1.733065704,0.372688527,2.200018973,-0.149871891
4.3,27.8,1.040662988,20.55714286,35.85238095,15.2952381,3.797270485,1.2,,,,,,,,-0.942926116,-0.71628989,10.40662988,-0.268449456,1.176274984,1.17714497,-0.149871891
3.9,31.6,1.347050388,24.04117647,38.98333333,14.94215686,3.797270485,2.6,,,,,,,,-0.947022826,-0.052134242,13.47050388,0.782121297,2.576084485,1.059110419,-0.149871891
46.4,31.4,4.40226154,25.89458333,38.00666667,12.11208333,3.797270485,2.4,,,,,,,,-0.511747374,-0.14701362,44.0226154,1.340995079,2.139429083,0.113020909,-0.149871891
122.7,29.7,12.1577056,24.90416667,35.93846154,11.03429487,3.797270485,0.7,,,,,,,,0.269700084,-0.953488336,121.577056,1.042346187,1.214760536,-0.247282224,-0.149871891
114.5,28.6,38.6583772,24.76521739,33.88571429,9.120496894,3.797270485,0.4,,,,,,,,0.185717526,-1.095807403,386.583772,1.00044761,0.297003012,-0.887062134,-0.149871891
470.6,27.1,49.27100887,23.8826087,32.40869565,8.526086957,3.797270485,1.9,,,,,,,,3.832813722,-0.384212066,492.7100887,0.734306987,-0.363353479,-1.085772521,-0.149871891
196.2,27.5,18.55121141,23.84736842,33.33913043,9.491762014,3.797270485,1.5,,,,,,,,1.022470571,-0.573970822,185.5121141,0.723680681,0.05263223,-0.762948739,-0.149871891
169.6,26.9,6.832547082,23.53684211,32.37142857,8.834586466,3.797270485,2.1,,,,,,,,0.750039347,-0.289332687,68.32547082,0.630045,-0.380015122,-0.982641579,-0.149871891
0,24.8,1.524432073,19.50555556,31.6,12.09444444,3.797270485,4.2,,,,,,,,-0.98696575,0.706900785,15.24432073,-0.585543659,-0.724911151,0.107124253,-0.149871891
6.1,23.5,1.402029529,17.68333333,30.39411765,12.71078431,3.797270485,5.5,,,,,,,,-0.92449092,1.323616744,14.02029529,-1.135014071,-1.26404601,0.313165785,-0.149871891
2.6,22.7,0.609323255,16.32857143,29.82272727,13.49415584,11.44416089,6.3,,,,,,,,-0.960337134,1.703134257,6.09323255,-1.54352713,-1.519507475,0.575045761,1.978850994
0.8,24.5,0.304589432,16.575,33.14761905,16.57261905,11.44416089,4.5,,,,,,,,-0.978772329,0.849219852,3.04589432,-1.469219394,-0.032990103,1.604171584,1.978850994
60.4,25.4,0.487338341,19.4,31.55652174,12.15652174,11.44416089,3.6,,,,,,,,-0.368362519,0.42226265,4.87338341,-0.617372739,-0.744349735,0.127876605,1.978850994
92.6,27.3,0.182721936,22.12631579,34.67619048,12.54987469,11.44416089,1.7,,,,,,,,-0.038577354,-0.479091444,1.82721936,0.204716814,0.650414992,0.259373931,1.978850994
292.7,27.3,2.561309829,23.88,33.50434783,9.624347826,11.44416089,1.7,,,,,,,,2.01080189,-0.479091444,25.61309829,0.733520363,0.126498855,-0.718625493,1.978850994
216.8,27.8,3.71673371,24.7125,32.55238095,7.839880952,11.44416089,1.2,,,,,,,,1.233451143,-0.71628989,37.1673371,0.98455128,-0.299113585,-1.315170202,1.978850994
191.2,27.7,1.948006489,24.43333333,33.15,8.716666667,11.44416089,1.3,,,,,,,,0.971261694,-0.668850201,19.48006489,0.900371743,-0.031925611,-1.022061999,1.978850994
260.5,26.9,2.311875679,23.70588235,31.57142857,7.865546218,11.44416089,2.1,,,,,,,,1.681016725,-0.289332687,23.11875679,0.681017164,-0.737685078,-1.30659034,1.978850994
254.9,27.2,0.851597567,23.87727273,32.05909091,8.181818182,11.44416089,1.8,,,,,,,,1.623662783,-0.431651755,8.51597567,0.732697986,-0.519657369,-1.200861078,1.978850994
69.7,26.5,0.607947084,22.6826087,32.18,9.497391304,11.44416089,2.5,,,,,,,,-0.273114009,-0.099573931,6.07947084,0.37246062,-0.465600432,-0.761066875,1.978850994
6.7,25,0.850845558,18.76842105,31.67727273,12.90885167,11.44416089,4,,,,,,,,-0.918345855,0.612021406,8.50845558,-0.807818196,-0.690363483,0.379379419,1.978850994
